TransactionID,TransactionDate,CustomerID,TransactionType,Category,Amount,BalanceAfterTxn,PaymentMode,Merchant,IsFraudulent
TXN505351,2024-01-06 16:19:52,CUST2475,Credit,Freelance Income,62489.77,378059.45,Cheque,LIC,No
TXN503652,2024-01-06 18:25:41,CUST2554,Debit,Entertainment,7252.36,380000.57,Net Banking,Uber,No
TXN503724,2024-01-07 02:57:49,CUST2038,Debit,Dining,5455.11,337764.23,Credit Card,Uber,No
TXN505137,2024-01-07 04:45:28,CUST2335,Debit,Utilities,1183.29,,Net Banking,Netflix,No
TXN502199,2024-01-07 05:10:57,CUST2081,Credit,Investment Return,42400.37,341163.15,Net Banking,Reliance Digital,No
TXN504579,2024-01-07 06:46:47,CUST2151,Debit,Shopping,9443.26,298914.42,Cash,IRCTC,No
TXN505443,2024-01-07 16:46:04,CUST2028,Credit,Freelance Income,36152.18,201175.83,UPI,HDFC Bank,No
TXN500472,2024-01-08 02:58:33,CUST2512,Debit,Groceries,8464.43,56401.91,Credit Card,Reliance Digital,No
TXN500670,2024-01-08 05:36:10,CUST2559,Credit,Freelance Income,15954.78,421983.76,Debit Card,Reliance Digital,No
TXN501373,2024-01-08 07:05:48,CUST2463,Debit,EMI - Loan,4867.58,152657.68,UPI,Swiggy,No
TXN502681,2024-01-08 10:05:43,CUST2531,Credit,Refund,32859.25,448580.59,UPI,Mutual Fund SIP,No
TXN504959,2024-01-08 14:34:41,CUST2517,Credit,Interest Credit,31477.42,293564.52,Debit Card,Zomato,No
TXN504386,2024-01-08 15:33:18,CUST2143,Debit,Dining,10567.17,337578.79,Debit Card,Electricity Board,No
TXN504218,2024-01-08 17:16:28,CUST2207,Debit,Dining,2007.07,316846.88,Credit Card,Amazon,No
TXN502218,2024-01-09 05:01:35,CUST2279,Debit,Travel,696.78,71587.94,Cheque,Employer Payroll,No
TXN507482,2024-01-09 06:13:18,CUST2217,Debit,Groceries,4089.02,283642.43,UPI,Netflix,No
TXN504068,2024-01-09 06:25:45,CUST2585,Debit,Healthcare,983.86,4567.2,Credit Card,Uber,No
TXN506127,2024-01-09 06:52:51,CUST2082,Debit,Dining,3857.52,95525.87,Debit Card,Local Store,No
TXN502228,2024-01-09 07:02:17,CUST2468,Debit,Shopping,1055.6,24814.28,Net Banking,Apollo Pharmacy,No
TXN506063,2024-01-09 09:17:26,CUST2060,Debit,Travel,593.76,222297.73,Credit Card,Employer Payroll,No
TXN506479,2024-01-09 17:10:44,CUST2422,Debit,Healthcare,50.0,396719.71,Cheque,Swiggy,No
TXN504063,2024-01-09 19:32:25,CUST2286,Credit,Freelance Income,61200.59,334811.13,Net Banking,Employer Payroll,No
TXN503222,2024-01-09 21:20:12,CUST2416,Debit,Shopping,321.43,252662.71,Cash,Uber,No
TXN502045,2024-01-09 21:26:28,CUST2035,Debit,Rent,256.21,48218.59,Debit Card,Reliance Digital,No
TXN504995,2024-01-09 23:42:56,CUST2581,Debit,Travel,5257.58,,UPI,Reliance Digital,No
TXN502225,2024-01-09 23:57:16,CUST2574,Debit,Entertainment,7427.35,277350.2,Credit Card,Netflix,No
TXN500248,2024-01-10 01:54:04,CUST2203,Debit,Insurance Premium,1915.02,362213.99,Cash,Swiggy,No
TXN501404,2024-01-10 02:52:48,CUST2339,Credit,Interest Credit,94708.23,79616.98,Debit Card,BigBasket,No
TXN502216,2024-01-10 03:51:17,CUST2334,Debit,Travel,2149.86,356986.49,Debit Card,Netflix,No
TXN504133,2024-01-10 04:12:47,CUST2406,Debit,Healthcare,5815.94,352941.51,Net Banking,LIC,No
TXN501431,2024-01-10 06:27:36,CUST2564,Debit,Groceries,5387.96,115004.36,Debit Card,Zomato,No
TXN500457,2024-01-10 07:04:43,CUST2455,Credit,Salary,38397.14,115027.03,Cash,Netflix,No
TXN501307,2024-01-10 07:18:11,CUST2008,Debit,Travel,872.87,8355.18,Credit Card,IRCTC,No
TXN500656,2024-01-10 09:31:42,CUST2089,Credit,Interest Credit,68113.3,414629.23,,Uber,No
TXN504212,2024-01-10 09:41:12,CUST2230,Debit,Rent,1860.92,294846.7,UPI,Apollo Pharmacy,No
TXN500912,2024-01-10 13:10:29,CUST2401,Debit,Utilities,2406.56,180458.94,Debit Card,Amazon,No
TXN501467,2024-01-10 18:15:03,CUST2329,Debit,Dining,1789.95,163392.02,UPI,Amazon,No
TXN501204,2024-01-10 18:33:14,CUST2105,Debit,EMI - Loan,938.52,452012.76,Credit Card,Reliance Digital,No
TXN501413,2024-01-10 18:44:05,CUST2188,Debit,Travel,1707.94,427153.32,Credit Card,Reliance Digital,No
TXN500400,2024-01-10 19:12:51,CUST2069,Debit,EMI - Loan,720.46,176094.5,UPI,Apollo Pharmacy,No
TXN505401,2024-01-10 19:16:14,CUST2350,Debit,Groceries,406.28,264913.95,Cheque,HDFC Bank,No
TXN505401,2024-01-10 19:16:14,CUST2350,Debit,Groceries,406.28,264913.95,Cheque,HDFC Bank,No
TXN500454,2024-01-10 20:42:34,CUST2491,Debit,Rent,3656.56,145895.54,Credit Card,Apollo Pharmacy,No
TXN502178,2024-01-10 21:58:16,CUST2230,Debit,Travel,6344.84,98981.02,Credit Card,Apollo Pharmacy,No
TXN501103,2024-01-10 23:34:04,CUST2373,Credit,Interest Credit,22747.65,419795.93,Credit Card,Local Store,No
TXN506119,2024-01-11 01:19:51,CUST2092,Debit,Entertainment,2290.61,80099.24,UPI,Uber,No
TXN501338,2024-01-11 06:31:03,CUST2365,Debit,Dining,2044.35,111019.14,UPI,Electricity Board,No
TXN502056,2024-01-11 07:33:05,CUST2130,Debit,EMI - Loan,2561.89,84450.68,Credit Card,IRCTC,No
TXN504020,2024-01-11 09:13:34,CUST2035,Debit,Insurance Premium,1325.1,91444.64,UPI,,No
TXN507849,2024-01-11 09:41:21,CUST2260,Debit,Rent,520.88,398890.74,Debit Card,Apollo Pharmacy,No
TXN501311,2024-01-11 09:58:18,CUST2482,Debit,EMI - Loan,17665.82,164068.67,Net Banking,IRCTC,No
TXN500554,2024-01-11 11:38:09,CUST2574,Debit,EMI - Loan,2227.79,145751.59,Cheque,Amazon,No
TXN501645,2024-01-11 12:24:29,CUST2258,Debit,EMI - Loan,4519.23,339273.98,Debit Card,Swiggy,No
TXN504382,2024-01-11 13:10:47,CUST2415,Credit,Investment Return,20218.46,496035.11,UPI,Swiggy,No
TXN501071,2024-01-11 14:34:15,CUST2207,Credit,Interest Credit,50417.33,60261.38,Net Banking,Mutual Fund SIP,No
TXN501003,2024-01-11 15:42:51,CUST2342,Debit,EMI - Loan,3214.05,389324.59,UPI,Netflix,No
TXN507818,2024-01-11 16:40:06,CUST2179,Debit,Healthcare,3947.02,283554.79,Cash,Zomato,No
TXN503154,2024-01-11 21:54:49,CUST2173,Debit,Insurance Premium,50.0,459453.65,UPI,Mutual Fund SIP,No
TXN505252,2024-01-11 23:11:10,CUST2424,Debit,Shopping,314.98,293292.17,Debit Card,Uber,No
TXN500958,2024-01-12 06:53:51,CUST2473,Debit,EMI - Loan,1317.87,,Credit Card,Swiggy,No
TXN500958,2024-01-12 06:53:51,CUST2473,Debit,EMI - Loan,1317.87,,Credit Card,Swiggy,No
TXN505727,2024-01-12 07:01:18,CUST2303,Debit,Healthcare,3935.02,107946.2,Net Banking,BigBasket,No
TXN503366,2024-01-12 07:34:32,CUST2392,Credit,Interest Credit,31670.56,151777.57,Debit Card,Electricity Board,No
TXN501568,2024-01-12 08:12:21,CUST2332,Debit,Rent,4351.2,476456.47,UPI,Electricity Board,No
TXN500695,2024-01-12 10:30:39,CUST2183,Debit,Insurance Premium,7623.93,108242.54,UPI,Employer Payroll,No
TXN500302,2024-01-12 10:59:17,CUST2328,Debit,Healthcare,7217.28,421429.85,UPI,Uber,No
TXN507625,2024-01-12 12:40:43,CUST2119,Credit,Salary,84785.26,182676.25,UPI,BigBasket,No
TXN503737,2024-01-12 16:14:53,CUST2417,Debit,Utilities,24030.9,398232.69,Net Banking,HDFC Bank,No
TXN503426,2024-01-12 18:09:09,CUST2132,Debit,Groceries,2729.25,310164.98,Credit Card,,No
TXN503739,2024-01-13 02:59:09,CUST2230,Credit,Interest Credit,49321.32,460455.66,UPI,HDFC Bank,No
TXN502684,2024-01-13 03:32:09,CUST2226,Debit,Rent,2802.47,391871.29,Net Banking,Zomato,No
TXN500735,2024-01-13 07:55:57,CUST2299,Credit,Salary,38543.95,233037.07,Net Banking,IRCTC,No
TXN501958,2024-01-13 11:41:28,CUST2571,Debit,Travel,3943.16,365396.39,Debit Card,Swiggy,No
TXN505446,2024-01-13 16:46:48,CUST2475,Credit,Interest Credit,50201.1,173878.05,UPI,Apollo Pharmacy,No
TXN501771,2024-01-13 17:55:49,CUST2061,Debit,Healthcare,1464.97,318162.62,Cheque,Swiggy,No
TXN503837,2024-01-13 22:03:35,CUST2352,Credit,Refund,31898.2,179467.13,UPI,Amazon,No
TXN507411,2024-01-13 22:38:09,CUST2472,Debit,Travel,1060.18,174629.09,Debit Card,IRCTC,No
TXN502205,2024-01-14 02:58:40,CUST2396,Debit,Dining,3750.2,217668.35,UPI,LIC,No
TXN502707,2024-01-14 04:04:33,CUST2585,Debit,Groceries,8344.61,35250.6,Cheque,Reliance Digital,No
TXN504508,2024-01-14 04:46:45,CUST2546,Debit,Shopping,2951.28,342826.57,UPI,BigBasket,No
TXN501535,2024-01-14 05:05:21,CUST2538,Credit,Interest Credit,58155.9,370030.22,Debit Card,Employer Payroll,No
TXN505293,2024-01-14 07:27:26,CUST2259,Debit,Healthcare,8555.52,138000.56,Cash,,No
TXN504208,2024-01-14 09:45:04,CUST2540,Debit,Travel,7680.89,55220.74,UPI,Swiggy,No
TXN504459,2024-01-14 12:26:41,CUST2272,Debit,Utilities,1748.02,427296.21,Debit Card,Local Store,No
TXN504728,2024-01-14 12:35:53,CUST2566,Debit,Dining,557.68,,Net Banking,Zomato,No
TXN503176,2024-01-14 12:36:20,CUST2528,Debit,Groceries,2823.78,345832.1,Cash,IRCTC,No
TXN504727,2024-01-14 15:59:15,CUST2214,Debit,Travel,1710.08,163437.03,Debit Card,Amazon,No
TXN500945,2024-01-14 16:40:46,CUST2478,Debit,Groceries,50.0,306647.72,Debit Card,Local Store,No
TXN502723,2024-01-14 19:12:13,CUST2058,Credit,Freelance Income,44445.55,149743.97,UPI,Local Store,No
TXN502152,2024-01-14 20:15:55,CUST2431,Debit,Utilities,7476.22,406225.5,Cheque,Employer Payroll,No
TXN500366,2024-01-15 00:42:31,CUST2221,Debit,Travel,2520.07,103866.73,UPI,Zomato,No
TXN507253,2024-01-15 06:00:52,CUST2583,Debit,Utilities,2706.47,357032.4,UPI,Local Store,No
TXN502529,2024-01-15 06:17:50,CUST2327,Debit,Entertainment,4978.12,87957.38,Debit Card,Electricity Board,No
TXN506703,2024-01-15 07:09:17,CUST2250,Debit,Healthcare,1054.09,,UPI,Employer Payroll,No
TXN500189,2024-01-15 14:58:08,CUST2503,Debit,EMI - Loan,10150.81,35848.21,Debit Card,Amazon,No
TXN501034,2024-01-15 15:23:55,CUST2562,Credit,Investment Return,85189.83,60533.3,Credit Card,Employer Payroll,No
TXN505855,2024-01-15 19:48:41,CUST2283,Debit,Entertainment,699.45,310974.65,Debit Card,Netflix,No
TXN504578,2024-01-15 19:56:26,CUST2585,Debit,Rent,1678.1,483617.92,Credit Card,LIC,No
TXN503682,2024-01-15 20:18:56,CUST2409,Debit,Entertainment,74.66,150899.12,Cash,Apollo Pharmacy,No
TXN502891,2024-01-15 23:14:56,CUST2550,Credit,Freelance Income,27314.72,168914.72,Net Banking,Uber,No
TXN505460,2024-01-16 01:26:19,CUST2187,Debit,EMI - Loan,12013.47,398569.37,Net Banking,Uber,No
TXN500290,2024-01-16 04:59:59,CUST2144,Credit,Interest Credit,63313.44,364755.94,UPI,Amazon,No
TXN502084,2024-01-16 05:47:08,CUST2108,Debit,Shopping,2747.26,40036.53,UPI,IRCTC,No
TXN504772,2024-01-16 06:00:41,CUST2215,Debit,Insurance Premium,62.61,112199.25,Debit Card,Netflix,No
TXN502345,2024-01-16 06:07:17,CUST2207,Debit,Insurance Premium,2137.42,322846.31,Net Banking,Netflix,No
TXN503671,2024-01-16 07:17:52,CUST2356,Debit,Utilities,1990.49,452097.69,Cheque,Local Store,No
TXN501273,2024-01-16 12:59:40,CUST2383,Debit,Travel,4873.51,140895.36,UPI,Uber,No
TXN505694,2024-01-16 13:02:26,CUST2527,Debit,Groceries,393.67,472613.67,UPI,Local Store,No
TXN506578,2024-01-16 13:20:22,CUST2534,Debit,Travel,7782.94,374082.85,Debit Card,BigBasket,No
TXN507047,2024-01-16 13:32:07,CUST2180,Debit,Utilities,319.01,492627.38,Debit Card,LIC,No
TXN506388,2024-01-16 18:11:48,CUST2153,Debit,Insurance Premium,5577.0,204173.3,Debit Card,HDFC Bank,No
TXN505779,2024-01-16 18:25:05,CUST2262,Debit,EMI - Loan,1126.16,471603.7,Net Banking,Reliance Digital,No
TXN501470,2024-01-16 18:32:59,CUST2308,Credit,Investment Return,43501.3,74077.1,UPI,Apollo Pharmacy,No
TXN501970,2024-01-17 06:01:56,CUST2355,Credit,Investment Return,32956.93,433490.22,UPI,Electricity Board,No
TXN505781,2024-01-17 08:11:46,CUST2197,Debit,Travel,1150.71,397865.96,UPI,IRCTC,No
TXN504379,2024-01-17 08:20:27,CUST2103,Debit,Shopping,589.66,390471.48,Credit Card,Swiggy,No
TXN500621,2024-01-17 08:23:58,CUST2475,Debit,EMI - Loan,489.01,374345.75,Net Banking,Employer Payroll,No
TXN500051,2024-01-17 10:30:15,CUST2408,Debit,Rent,5774.71,499203.76,UPI,Uber,No
TXN502457,2024-01-17 10:48:12,CUST2083,Credit,Refund,27789.57,,Cash,Reliance Digital,No
TXN504357,2024-01-17 12:00:44,CUST2475,Debit,Shopping,5811.37,,UPI,Swiggy,No
TXN505445,2024-01-17 12:08:29,CUST2233,Debit,Rent,2166.48,403155.16,Debit Card,Swiggy,No
TXN501748,2024-01-17 13:50:06,CUST2183,Credit,Investment Return,33490.42,56589.69,Net Banking,Employer Payroll,No
TXN504910,2024-01-17 14:16:36,CUST2078,Credit,Salary,48484.05,48794.77,UPI,Electricity Board,No
TXN506780,2024-01-17 14:48:29,CUST2425,Debit,Dining,3698.22,479024.33,Debit Card,Zomato,No
TXN507594,2024-01-17 21:59:02,CUST2355,Debit,Dining,1877.19,219893.94,Cheque,Swiggy,No
TXN505590,2024-01-17 22:42:26,CUST2146,Debit,Rent,4393.7,149664.85,Cash,Mutual Fund SIP,No
TXN500641,2024-01-18 00:11:18,CUST2338,Credit,Freelance Income,48833.58,246983.05,Credit Card,Local Store,No
TXN502598,2024-01-18 04:33:36,CUST2220,Debit,Healthcare,837.38,431050.48,Cheque,Electricity Board,No
TXN505128,2024-01-18 04:41:01,CUST2190,Debit,Rent,1508.7,217598.94,Debit Card,LIC,No
TXN505100,2024-01-18 07:07:48,CUST2509,Debit,Entertainment,3237.43,114867.26,Debit Card,BigBasket,No
TXN505904,2024-01-18 11:49:44,CUST2396,Debit,Rent,4520.98,369933.99,Cash,Swiggy,No
TXN503473,2024-01-18 12:12:46,CUST2330,Credit,Interest Credit,41505.12,460623.03,UPI,Netflix,No
TXN507666,2024-01-18 13:13:49,CUST2183,Debit,Healthcare,1007.21,386771.78,Credit Card,Amazon,No
TXN507982,2024-01-18 17:40:41,CUST2545,Debit,Insurance Premium,185.1,161068.77,Cheque,Swiggy,No
TXN507303,2024-01-18 18:24:29,CUST2020,Debit,Rent,3556.32,22977.9,Cash,Netflix,No
TXN505900,2024-01-19 06:08:11,CUST2399,Debit,Rent,50.0,,UPI,Employer Payroll,No
TXN500565,2024-01-19 06:59:44,CUST2400,Credit,Interest Credit,65018.05,456544.64,Debit Card,Amazon,No
TXN502328,2024-01-19 08:08:09,CUST2461,Debit,Healthcare,4602.45,150668.87,UPI,Swiggy,No
TXN501770,2024-01-19 13:27:18,CUST2518,Debit,Utilities,197.31,423730.34,Credit Card,Local Store,No
TXN506011,2024-01-19 15:55:03,CUST2042,Credit,Salary,39072.45,44953.69,Debit Card,Uber,No
TXN500270,2024-01-19 16:45:58,CUST2280,Debit,Healthcare,5161.76,446641.16,Credit Card,Uber,No
TXN501086,2024-01-19 19:19:48,CUST2281,Debit,EMI - Loan,10619.85,443042.88,UPI,Amazon,No
TXN501818,2024-01-20 00:01:46,CUST2375,Credit,Refund,36530.7,226553.52,UPI,Local Store,No
TXN500002,2024-01-20 00:40:30,CUST2493,Debit,Shopping,2854.13,329302.3,Credit Card,Amazon,No
TXN506288,2024-01-20 02:31:44,CUST2104,Credit,Freelance Income,56606.36,392680.87,UPI,Local Store,No
TXN504405,2024-01-20 04:20:44,CUST2053,Debit,Entertainment,590.73,307859.81,Net Banking,IRCTC,No
TXN500436,2024-01-20 05:41:07,CUST2122,Debit,Groceries,559.76,130822.13,Net Banking,Mutual Fund SIP,No
TXN507912,2024-01-20 07:30:08,CUST2115,Debit,Shopping,3320.11,449764.51,UPI,Mutual Fund SIP,No
TXN501689,2024-01-20 07:33:34,CUST2409,Debit,Groceries,4326.67,288420.89,Cash,Employer Payroll,No
TXN503703,2024-01-20 07:40:27,CUST2048,Debit,Shopping,7014.05,368724.15,UPI,IRCTC,No
TXN500186,2024-01-20 09:45:03,CUST2188,Debit,EMI - Loan,1438.06,426365.73,UPI,Electricity Board,No
TXN502704,2024-01-20 12:11:35,CUST2455,Credit,Refund,50.0,,Cash,BigBasket,No
TXN503605,2024-01-20 14:56:59,CUST2502,Debit,Insurance Premium,462.17,192820.01,Debit Card,Uber,No
TXN501237,2024-01-20 15:20:36,CUST2013,Debit,Rent,585.16,399167.12,Net Banking,BigBasket,No
TXN507755,2024-01-20 18:36:37,CUST2097,Debit,Entertainment,6002.47,366443.72,Net Banking,BigBasket,No
TXN506108,2024-01-20 19:06:30,CUST2416,Credit,Refund,26234.77,127063.9,UPI,Employer Payroll,No
TXN500911,2024-01-20 20:48:04,CUST2122,Debit,Utilities,104.31,118976.65,Debit Card,Uber,Yes
TXN506328,2024-01-20 20:51:46,CUST2003,Credit,Interest Credit,72359.64,360823.44,UPI,Amazon,No
TXN506648,2024-01-20 21:11:59,CUST2597,Debit,Rent,1955.02,498641.75,Debit Card,IRCTC,No
TXN502150,2024-01-20 22:55:47,CUST2006,Credit,Refund,47376.22,236385.06,UPI,Mutual Fund SIP,No
TXN500914,2024-01-20 23:36:06,CUST2596,Debit,Entertainment,1054.01,426759.74,UPI,Employer Payroll,No
TXN505329,2024-01-21 01:17:32,CUST2467,Debit,EMI - Loan,2457.76,35293.25,Credit Card,Employer Payroll,No
TXN506790,2024-01-21 01:18:29,CUST2385,Debit,Utilities,1437.72,336462.78,Cash,Uber,No
TXN503707,2024-01-21 01:24:30,CUST2475,Credit,Interest Credit,27850.43,,Credit Card,Reliance Digital,No
TXN504514,2024-01-21 01:57:58,CUST2430,Debit,Entertainment,4369.93,491589.12,UPI,,No
TXN502422,2024-01-21 02:38:37,CUST2313,Debit,Utilities,649.72,430424.37,Net Banking,Uber,No
TXN503161,2024-01-21 04:30:01,CUST2563,Credit,Refund,16569.55,25414.15,Cheque,Mutual Fund SIP,No
TXN507206,2024-01-21 06:39:50,CUST2598,Debit,Rent,278.78,128712.12,Cheque,LIC,No
TXN502576,2024-01-21 07:43:51,CUST2553,Credit,Freelance Income,44901.81,195527.09,Debit Card,Mutual Fund SIP,No
TXN501141,2024-01-21 09:06:22,CUST2065,Credit,Investment Return,29527.71,492321.19,UPI,Netflix,No
TXN506400,2024-01-21 10:38:18,CUST2564,Credit,Refund,37492.25,297730.94,Cash,Zomato,No
TXN505470,2024-01-21 12:13:42,CUST2176,Debit,Travel,423.87,14030.33,Cash,Local Store,No
TXN501850,2024-01-21 13:04:17,CUST2354,Debit,Utilities,968.04,321961.98,Credit Card,Reliance Digital,No
TXN503593,2024-01-21 13:42:40,CUST2122,Credit,Investment Return,40455.76,346371.45,Credit Card,LIC,No
TXN504312,2024-01-21 15:00:21,CUST2568,Debit,Utilities,794.9,115284.85,Cash,LIC,No
TXN503345,2024-01-21 17:19:23,CUST2467,Debit,Healthcare,5036.42,318960.11,UPI,Reliance Digital,No
TXN504941,2024-01-21 17:42:01,CUST2194,Debit,Insurance Premium,2028.9,366021.39,Debit Card,Employer Payroll,No
TXN502593,2024-01-21 18:58:05,CUST2474,Credit,Investment Return,13898.41,43013.6,Credit Card,Reliance Digital,No
TXN504155,2024-01-21 19:03:57,CUST2395,Debit,Rent,4571.37,462392.61,Net Banking,Employer Payroll,No
TXN503608,2024-01-21 19:31:15,CUST2451,Debit,Insurance Premium,1431.76,198649.37,Debit Card,Uber,No
TXN502515,2024-01-21 21:31:25,CUST2005,Credit,Refund,34588.07,471003.9,Credit Card,Netflix,No
TXN505624,2024-01-21 21:33:10,CUST2316,Debit,Healthcare,8181.69,236831.05,Credit Card,Amazon,No
TXN505562,2024-01-21 22:42:23,CUST2152,Debit,Travel,2277.52,194218.25,UPI,Swiggy,No
TXN502887,2024-01-22 01:12:16,CUST2233,Debit,Healthcare,4678.9,37146.89,Net Banking,IRCTC,No
TXN505630,2024-01-22 03:58:02,CUST2549,Debit,Utilities,3724.47,300456.04,Net Banking,Electricity Board,No
TXN507817,2024-01-22 07:25:05,CUST2131,Debit,Insurance Premium,50.0,248118.72,Debit Card,Netflix,No
TXN501448,2024-01-22 08:52:14,CUST2059,Debit,Entertainment,3267.56,105590.86,Credit Card,Reliance Digital,No
TXN504422,2024-01-22 15:37:07,CUST2573,Debit,Groceries,2358.06,184056.52,Debit Card,Swiggy,No
TXN502062,2024-01-22 17:19:06,CUST2430,Debit,EMI - Loan,714.34,319628.48,UPI,Netflix,No
TXN506397,2024-01-22 20:38:38,CUST2389,Credit,Salary,33637.03,274976.39,Cash,Employer Payroll,No
TXN502579,2024-01-22 21:18:23,CUST2042,Debit,Utilities,2520.04,62951.85,Cheque,Mutual Fund SIP,No
TXN507992,2024-01-23 00:32:42,CUST2361,Debit,Groceries,1191.29,295740.46,UPI,Employer Payroll,No
TXN505310,2024-01-23 02:30:09,CUST2207,Debit,Insurance Premium,1224.06,129154.8,Net Banking,Employer Payroll,No
TXN507981,2024-01-23 03:01:07,CUST2411,Debit,Rent,2367.35,469924.95,UPI,Mutual Fund SIP,No
TXN501149,2024-01-23 06:36:45,CUST2258,Credit,Investment Return,63649.17,228612.52,UPI,BigBasket,No
TXN505973,2024-01-23 07:20:46,CUST2506,Debit,Entertainment,1461.83,240435.98,,Mutual Fund SIP,No
TXN501178,2024-01-23 07:34:28,CUST2456,Debit,Entertainment,5689.2,74548.86,UPI,IRCTC,No
